연도,학제,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소,우편번호,전화번호,팩스번호,홈페이지,입학정원,지원자,입학자
2019,대학교,강릉원주대학교,기존,본교,강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,1344 ,7775 ,1457 
2019,대학교,강릉원주대학교,기존,제2캠퍼스,강원,강원 원주시,국립,주간,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",26403,033-760-8114,033-760-8019,www.gwnu.ac.kr,489 ,3327 ,512 
2019,일반대학원,강릉원주대학교대학원,기존,본교,강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-2077,,www.gwnu.ac.kr,159 ,196 ,173 
2019,일반대학원,강릉원주대학교대학원,기존,제2캠퍼스,강원,강원 원주시,국립,주간,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",26403,033-640-2077,,www.gwnu.ac.kr,38 ,56 ,37 
2019,특수대학원,강릉원주대학교경영정책과학대학원,기존,본교,강원,강원 강릉시,국립,야간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-2081,,www.gwnu.ac.kr,29 ,6 ,4 
2019,특수대학원,강릉원주대학교경영정책과학대학원,기존,제2캠퍼스,강원,강원 원주시,국립,야간,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",26403,033-640-2081,,www.gwnu.ac.kr,12 ,4 ,4 
2019,특수대학원,강릉원주대학교교육대학원,기존,본교,강원,강원 강릉시,국립,야간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-2087,,www.gwnu.ac.kr,86 ,86 ,66 
2019,특수대학원,강릉원주대학교교육대학원,기존,제2캠퍼스,강원,강원 원주시,국립,야간,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",26403,033-640-2087,,www.gwnu.ac.kr,26 ,24 ,22 
2019,특수대학원,강릉원주대학교산업대학원,기존,본교,강원,강원 강릉시,국립,야간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교치과병원)",25457,033-640-2085,,www.gwnu.ac.kr,21 ,9 ,6 
2019,특수대학원,강릉원주대학교산업대학원,기존,제2캠퍼스,강원,강원 원주시,국립,야간,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",26403,033-640-2085,,www.gwnu.ac.kr,13 ,8 ,7 
